Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSeconds
0 days 00:57:07.799000,ALB,23,0 days 00:01:49.364000,1.0,1.0,,,,0 days 00:00:32.431000,0 days 00:00:45.223000,,0 days 00:56:22.683000,0 days 00:57:07.994000,279.0,271.0,254.0,314.0,False,MEDIUM,1.0,True,Williams,0 days 00:55:18.169000,2024-04-21 07:03:36.842,1,13.0,False,,False,False,109.364
0 days 00:58:50.956000,ALB,23,0 days 00:01:43.157000,2.0,1.0,,,0 days 00:00:27.453000,0 days 00:00:31.498000,0 days 00:00:44.206000,0 days 00:57:35.275000,0 days 00:58:06.773000,0 days 00:58:50.979000,273.0,268.0,261.0,337.0,True,MEDIUM,2.0,True,Williams,0 days 00:57:07.799000,2024-04-21 07:05:26.472,1,13.0,False,,False,True,103.157
0 days 01:00:33.970000,ALB,23,0 days 00:01:43.014000,3.0,1.0,,,0 days 00:00:27.257000,0 days 00:00:31.399000,0 days 00:00:44.358000,0 days 00:59:18.236000,0 days 00:59:49.635000,0 days 01:00:33.993000,269.0,268.0,261.0,334.0,True,MEDIUM,3.0,True,Williams,0 days 00:58:50.956000,2024-04-21 07:07:09.629,1,13.0,False,,False,True,103.014
0 days 01:02:16.945000,ALB,23,0 days 00:01:42.975000,4.0,1.0,,,0 days 00:00:27.274000,0 days 00:00:31.240000,0 days 00:00:44.461000,0 days 01:01:01.267000,0 days 01:01:32.507000,0 days 01:02:16.968000,263.0,264.0,258.0,329.0,True,MEDIUM,4.0,True,Williams,0 days 01:00:33.970000,2024-04-21 07:08:52.643,1,13.0,False,,False,True,102.975
0 days 01:04:00.337000,ALB,23,0 days 00:01:43.392000,5.0,1.0,,,0 days 00:00:27.334000,0 days 00:00:31.420000,0 days 00:00:44.638000,0 days 01:02:44.302000,0 days 01:03:15.722000,0 days 01:04:00.360000,268.0,266.0,254.0,330.0,False,MEDIUM,5.0,True,Williams,0 days 01:02:16.945000,2024-04-21 07:10:35.618,1,13.0,False,,False,True,103.392
0 days 01:05:43.690000,ALB,23,0 days 00:01:43.353000,6.0,1.0,,,0 days 00:00:27.518000,0 days 00:00:31.276000,0 days 00:00:44.559000,0 days 01:04:27.878000,0 days 01:04:59.154000,0 days 01:05:43.713000,264.0,265.0,253.0,316.0,False,MEDIUM,6.0,True,Williams,0 days 01:04:00.337000,2024-04-21 07:12:19.010,1,13.0,False,,False,True,103.353
0 days 01:07:27.051000,ALB,23,0 days 00:01:43.361000,7.0,1.0,,,0 days 00:00:27.681000,0 days 00:00:31.189000,0 days 00:00:44.491000,0 days 01:06:11.394000,0 days 01:06:42.583000,0 days 01:07:27.074000,266.0,267.0,256.0,332.0,False,MEDIUM,7.0,True,Williams,0 days 01:05:43.690000,2024-04-21 07:14:02.363,1,13.0,False,,False,True,103.361
0 days 01:09:11.042000,ALB,23,0 days 00:01:43.991000,8.0,1.0,,,0 days 00:00:27.722000,0 days 00:00:31.602000,0 days 00:00:44.667000,0 days 01:07:54.796000,0 days 01:08:26.398000,0 days 01:09:11.065000,265.0,265.0,260.0,332.0,False,MEDIUM,8.0,True,Williams,0 days 01:07:27.051000,2024-04-21 07:15:45.724,1,12.0,False,,False,True,103.991
0 days 01:14:43.844000,ALB,23,0 days 00:01:42.937000,11.0,2.0,,,0 days 00:00:27.044000,0 days 00:00:31.735000,0 days 00:00:44.158000,0 days 01:13:27.974000,0 days 01:13:59.709000,0 days 01:14:43.867000,267.0,259.0,261.0,332.0,True,MEDIUM,2.0,True,Williams,0 days 01:13:00.907000,2024-04-21 07:21:19.580,1,19.0,False,,False,True,102.937
0 days 01:16:25.995000,ALB,23,0 days 00:01:42.151000,12.0,2.0,,,0 days 00:00:27.062000,0 days 00:00:31.044000,0 days 00:00:44.045000,0 days 01:15:10.929000,0 days 01:15:41.973000,0 days 01:16:26.018000,270.0,266.0,256.0,331.0,True,MEDIUM,3.0,True,Williams,0 days 01:14:43.844000,2024-04-21 07:23:02.517,1,18.0,False,,False,True,102.151
0 days 01:18:08.603000,ALB,23,0 days 00:01:42.608000,13.0,2.0,,,0 days 00:00:27.474000,0 days 00:00:31.239000,0 days 00:00:43.895000,0 days 01:16:53.492000,0 days 01:17:24.731000,0 days 01:18:08.626000,267.0,267.0,262.0,333.0,False,MEDIUM,4.0,True,Williams,0 days 01:16:25.995000,2024-04-21 07:24:44.668,1,17.0,False,,False,True,102.608
0 days 01:19:51.877000,ALB,23,0 days 00:01:43.274000,14.0,2.0,,,0 days 00:00:27.494000,0 days 00:00:31.455000,0 days 00:00:44.325000,0 days 01:18:36.120000,0 days 01:19:07.575000,0 days 01:19:51.900000,265.0,265.0,254.0,315.0,False,MEDIUM,5.0,True,Williams,0 days 01:18:08.603000,2024-04-21 07:26:27.276,1,17.0,False,,False,True,103.274
0 days 01:21:34.639000,ALB,23,0 days 00:01:42.762000,15.0,2.0,,,0 days 00:00:27.388000,0 days 00:00:31.102000,0 days 00:00:44.272000,0 days 01:20:19.288000,0 days 01:20:50.390000,0 days 01:21:34.662000,268.0,268.0,256.0,313.0,False,MEDIUM,6.0,True,Williams,0 days 01:19:51.877000,2024-04-21 07:28:10.550,1,16.0,False,,False,True,102.762
0 days 01:23:17.250000,ALB,23,0 days 00:01:42.611000,16.0,2.0,,,0 days 00:00:27.301000,0 days 00:00:31.112000,0 days 00:00:44.198000,0 days 01:22:01.963000,0 days 01:22:33.075000,0 days 01:23:17.273000,267.0,267.0,256.0,311.0,False,MEDIUM,7.0,True,Williams,0 days 01:21:34.639000,2024-04-21 07:29:53.312,1,16.0,False,,False,True,102.611
0 days 01:25:00.368000,ALB,23,0 days 00:01:43.118000,17.0,2.0,,,0 days 00:00:27.312000,0 days 00:00:31.042000,0 days 00:00:44.764000,0 days 01:23:44.585000,0 days 01:24:15.627000,0 days 01:25:00.391000,267.0,266.0,261.0,312.0,False,MEDIUM,8.0,True,Williams,0 days 01:23:17.250000,2024-04-21 07:31:35.923,1,17.0,False,,False,True,103.118
0 days 01:26:43.372000,ALB,23,0 days 00:01:43.004000,18.0,2.0,,,0 days 00:00:27.376000,0 days 00:00:31.239000,0 days 00:00:44.389000,0 days 01:25:27.767000,0 days 01:25:59.006000,0 days 01:26:43.395000,268.0,266.0,256.0,312.0,False,MEDIUM,9.0,True,Williams,0 days 01:25:00.368000,2024-04-21 07:33:19.041,1,16.0,False,,False,True,103.004
0 days 01:28:26.559000,ALB,23,0 days 00:01:43.187000,19.0,2.0,,,0 days 00:00:27.446000,0 days 00:00:31.211000,0 days 00:00:44.530000,0 days 01:27:10.841000,0 days 01:27:42.052000,0 days 01:28:26.582000,266.0,266.0,256.0,309.0,False,MEDIUM,10.0,True,Williams,0 days 01:26:43.372000,2024-04-21 07:35:02.045,1,16.0,False,,False,True,103.187
0 days 01:30:09.745000,ALB,23,0 days 00:01:43.186000,20.0,2.0,,,0 days 00:00:27.408000,0 days 00:00:31.078000,0 days 00:00:44.700000,0 days 01:28:53.990000,0 days 01:29:25.068000,0 days 01:30:09.768000,267.0,261.0,256.0,309.0,False,MEDIUM,11.0,True,Williams,0 days 01:28:26.559000,2024-04-21 07:36:45.232,12,15.0,False,,False,True,103.186
0 days 01:41:02.694000,ALB,23,0 days 00:01:51.954000,25.0,3.0,,,0 days 00:00:29.244000,0 days 00:00:32.549000,0 days 00:00:50.161000,0 days 01:39:40.007000,0 days 01:40:12.556000,0 days 01:41:02.717000,261.0,257.0,249.0,276.0,False,HARD,2.0,True,Williams,0 days 01:39:10.740000,2024-04-21 07:47:29.413,4,16.0,False,,False,False,111.954
0 days 01:56:40.341000,ALB,23,0 days 00:01:42.221000,32.0,3.0,,,0 days 00:00:27.078000,0 days 00:00:30.724000,0 days 00:00:44.419000,0 days 01:55:25.221000,0 days 01:55:55.945000,0 days 01:56:40.364000,270.0,271.0,258.0,315.0,False,HARD,9.0,True,Williams,0 days 01:54:58.120000,2024-04-21 08:03:16.793,1,13.0,False,,False,True,102.221
0 days 01:58:21.610000,ALB,23,0 days 00:01:41.269000,33.0,3.0,,,0 days 00:00:27.015000,0 days 00:00:30.277000,0 days 00:00:43.977000,0 days 01:57:07.379000,0 days 01:57:37.656000,0 days 01:58:21.633000,267.0,270.0,258.0,312.0,True,HARD,10.0,True,Williams,0 days 01:56:40.341000,2024-04-21 08:04:59.014,1,12.0,False,,False,True,101.269
0 days 02:00:02.400000,ALB,23,0 days 00:01:40.790000,34.0,3.0,,,0 days 00:00:26.852000,0 days 00:00:30.411000,0 days 00:00:43.527000,0 days 01:58:48.485000,0 days 01:59:18.896000,0 days 02:00:02.423000,271.0,269.0,259.0,312.0,True,HARD,11.0,True,Williams,0 days 01:58:21.610000,2024-04-21 08:06:40.283,1,12.0,False,,False,True,100.79
0 days 02:01:43.735000,ALB,23,0 days 00:01:41.335000,35.0,3.0,,,0 days 00:00:26.914000,0 days 00:00:30.611000,0 days 00:00:43.810000,0 days 02:00:29.337000,0 days 02:00:59.948000,0 days 02:01:43.758000,270.0,270.0,258.0,312.0,False,HARD,12.0,True,Williams,0 days 02:00:02.400000,2024-04-21 08:08:21.073,1,12.0,False,,False,True,101.335
0 days 02:03:25.115000,ALB,23,0 days 00:01:41.380000,36.0,3.0,,,0 days 00:00:26.941000,0 days 00:00:30.561000,0 days 00:00:43.878000,0 days 02:02:10.699000,0 days 02:02:41.260000,0 days 02:03:25.138000,271.0,269.0,259.0,312.0,False,HARD,13.0,True,Williams,0 days 02:01:43.735000,2024-04-21 08:10:02.408,1,12.0,False,,False,True,101.38
0 days 02:05:06.376000,ALB,23,0 days 00:01:41.261000,37.0,3.0,,,0 days 00:00:26.977000,0 days 00:00:30.515000,0 days 00:00:43.769000,0 days 02:03:52.115000,0 days 02:04:22.630000,0 days 02:05:06.399000,271.0,269.0,260.0,312.0,False,HARD,14.0,True,Williams,0 days 02:03:25.115000,2024-04-21 08:11:43.788,1,12.0,False,,False,True,101.261
0 days 02:06:47.464000,ALB,23,0 days 00:01:41.088000,38.0,3.0,,,0 days 00:00:26.938000,0 days 00:00:30.473000,0 days 00:00:43.677000,0 days 02:05:33.337000,0 days 02:06:03.810000,0 days 02:06:47.487000,271.0,269.0,258.0,312.0,False,HARD,15.0,True,Williams,0 days 02:05:06.376000,2024-04-21 08:13:25.049,1,12.0,False,,False,True,101.088
0 days 02:08:28.805000,ALB,23,0 days 00:01:41.341000,39.0,3.0,,,0 days 00:00:27.081000,0 days 00:00:30.520000,0 days 00:00:43.740000,0 days 02:07:14.568000,0 days 02:07:45.088000,0 days 02:08:28.828000,270.0,269.0,259.0,314.0,False,HARD,16.0,True,Williams,0 days 02:06:47.464000,2024-04-21 08:15:06.137,1,12.0,False,,False,True,101.341
0 days 02:10:10.477000,ALB,23,0 days 00:01:41.672000,40.0,3.0,,,0 days 00:00:27.103000,0 days 00:00:30.620000,0 days 00:00:43.949000,0 days 02:08:55.931000,0 days 02:09:26.551000,0 days 02:10:10.500000,270.0,270.0,259.0,312.0,False,HARD,17.0,True,Williams,0 days 02:08:28.805000,2024-04-21 08:16:47.478,1,12.0,False,,False,True,101.672
0 days 02:11:52.232000,ALB,23,0 days 00:01:41.755000,41.0,3.0,,,0 days 00:00:27.126000,0 days 00:00:30.686000,0 days 00:00:43.943000,0 days 02:10:37.626000,0 days 02:11:08.312000,0 days 02:11:52.255000,272.0,270.0,260.0,310.0,False,HARD,18.0,True,Williams,0 days 02:10:10.477000,2024-04-21 08:18:29.150,1,12.0,False,,False,True,101.755
0 days 02:13:33.790000,ALB,23,0 days 00:01:41.558000,42.0,3.0,,,0 days 00:00:27.029000,0 days 00:00:30.617000,0 days 00:00:43.912000,0 days 02:12:19.284000,0 days 02:12:49.901000,0 days 02:13:33.813000,269.0,269.0,260.0,309.0,False,HARD,19.0,True,Williams,0 days 02:11:52.232000,2024-04-21 08:20:10.905,1,12.0,False,,False,True,101.558
0 days 02:15:15.213000,ALB,23,0 days 00:01:41.423000,43.0,3.0,,,0 days 00:00:27.087000,0 days 00:00:30.483000,0 days 00:00:43.853000,0 days 02:14:00.900000,0 days 02:14:31.383000,0 days 02:15:15.236000,269.0,269.0,259.0,310.0,False,HARD,20.0,True,Williams,0 days 02:13:33.790000,2024-04-21 08:21:52.463,1,12.0,False,,False,True,101.423
0 days 02:16:56.717000,ALB,23,0 days 00:01:41.504000,44.0,3.0,,,0 days 00:00:27.135000,0 days 00:00:30.532000,0 days 00:00:43.837000,0 days 02:15:42.371000,0 days 02:16:12.903000,0 days 02:16:56.740000,270.0,269.0,259.0,309.0,False,HARD,21.0,True,Williams,0 days 02:15:15.213000,2024-04-21 08:23:33.886,1,11.0,False,,False,True,101.504
0 days 02:18:38.377000,ALB,23,0 days 00:01:41.660000,45.0,3.0,,,0 days 00:00:27.005000,0 days 00:00:30.493000,0 days 00:00:44.162000,0 days 02:17:23.745000,0 days 02:17:54.238000,0 days 02:18:38.400000,271.0,269.0,263.0,317.0,False,HARD,22.0,True,Williams,0 days 02:16:56.717000,2024-04-21 08:25:15.390,1,12.0,False,,False,True,101.66
0 days 02:20:20.153000,ALB,23,0 days 00:01:41.776000,46.0,3.0,,,0 days 00:00:27.014000,0 days 00:00:30.562000,0 days 00:00:44.200000,0 days 02:19:05.414000,0 days 02:19:35.976000,0 days 02:20:20.176000,270.0,270.0,259.0,310.0,False,HARD,23.0,True,Williams,0 days 02:18:38.377000,2024-04-21 08:26:57.050,1,12.0,False,,False,True,101.776
0 days 02:22:01.737000,ALB,23,0 days 00:01:41.584000,47.0,3.0,,,0 days 00:00:27.136000,0 days 00:00:30.523000,0 days 00:00:43.925000,0 days 02:20:47.312000,0 days 02:21:17.835000,0 days 02:22:01.760000,271.0,269.0,260.0,310.0,False,HARD,24.0,True,Williams,0 days 02:20:20.153000,2024-04-21 08:28:38.826,1,12.0,False,,False,True,101.584
0 days 02:23:43.246000,ALB,23,0 days 00:01:41.509000,48.0,3.0,,,0 days 00:00:27.065000,0 days 00:00:30.480000,0 days 00:00:43.964000,0 days 02:22:28.825000,0 days 02:22:59.305000,0 days 02:23:43.269000,271.0,269.0,259.0,309.0,False,HARD,25.0,True,Williams,0 days 02:22:01.737000,2024-04-21 08:30:20.410,1,12.0,False,,False,True,101.509
0 days 02:25:24.650000,ALB,23,0 days 00:01:41.404000,49.0,3.0,,,0 days 00:00:27.098000,0 days 00:00:30.395000,0 days 00:00:43.911000,0 days 02:24:10.367000,0 days 02:24:40.762000,0 days 02:25:24.673000,271.0,270.0,258.0,309.0,False,HARD,26.0,True,Williams,0 days 02:23:43.246000,2024-04-21 08:32:01.919,1,12.0,False,,False,True,101.404
0 days 02:27:06.088000,ALB,23,0 days 00:01:41.438000,50.0,3.0,,,0 days 00:00:27.096000,0 days 00:00:30.602000,0 days 00:00:43.740000,0 days 02:25:51.769000,0 days 02:26:22.371000,0 days 02:27:06.111000,272.0,269.0,261.0,310.0,False,HARD,27.0,True,Williams,0 days 02:25:24.650000,2024-04-21 08:33:43.323,1,12.0,False,,False,True,101.438
0 days 02:28:47.525000,ALB,23,0 days 00:01:41.437000,51.0,3.0,,,0 days 00:00:26.910000,0 days 00:00:30.641000,0 days 00:00:43.886000,0 days 02:27:33.021000,0 days 02:28:03.662000,0 days 02:28:47.548000,272.0,269.0,260.0,310.0,False,HARD,28.0,True,Williams,0 days 02:27:06.088000,2024-04-21 08:35:24.761,1,12.0,False,,False,True,101.437
0 days 02:30:29.195000,ALB,23,0 days 00:01:41.670000,52.0,3.0,,,0 days 00:00:27.085000,0 days 00:00:30.654000,0 days 00:00:43.931000,0 days 02:29:14.633000,0 days 02:29:45.287000,0 days 02:30:29.218000,273.0,270.0,259.0,310.0,False,HARD,29.0,True,Williams,0 days 02:28:47.525000,2024-04-21 08:37:06.198,1,12.0,False,,False,True,101.67
0 days 02:32:10.549000,ALB,23,0 days 00:01:41.354000,53.0,3.0,,,0 days 00:00:26.995000,0 days 00:00:30.437000,0 days 00:00:43.922000,0 days 02:30:56.213000,0 days 02:31:26.650000,0 days 02:32:10.572000,273.0,271.0,261.0,312.0,False,HARD,30.0,True,Williams,0 days 02:30:29.195000,2024-04-21 08:38:47.868,1,12.0,False,,False,True,101.354
0 days 02:33:52.973000,ALB,23,0 days 00:01:42.424000,54.0,3.0,,,0 days 00:00:27.029000,0 days 00:00:31.435000,0 days 00:00:43.960000,0 days 02:32:37.601000,0 days 02:33:09.036000,0 days 02:33:52.996000,271.0,270.0,261.0,313.0,False,HARD,31.0,True,Williams,0 days 02:32:10.549000,2024-04-21 08:40:29.222,1,12.0,True,TRACK LIMITS AT TURN 6 LAP 54 ,False,True,102.424
0 days 02:35:34.971000,ALB,23,0 days 00:01:41.998000,55.0,3.0,,,0 days 00:00:27.094000,0 days 00:00:30.763000,0 days 00:00:44.141000,0 days 02:34:20.090000,0 days 02:34:50.853000,0 days 02:35:34.994000,271.0,270.0,259.0,309.0,False,HARD,32.0,True,Williams,0 days 02:33:52.973000,2024-04-21 08:42:11.646,1,12.0,False,,False,True,101.998
0 days 02:37:16.495000,ALB,23,0 days 00:01:41.524000,56.0,3.0,,,0 days 00:00:26.980000,0 days 00:00:30.539000,0 days 00:00:44.005000,0 days 02:36:01.974000,0 days 02:36:32.513000,0 days 02:37:16.518000,273.0,268.0,259.0,311.0,False,HARD,33.0,True,Williams,0 days 02:35:34.971000,2024-04-21 08:43:53.644,1,12.0,False,,False,True,101.524
0 days 00:57:01.608000,ALO,14,0 days 00:01:43.173000,1.0,1.0,,,,0 days 00:00:30.575000,0 days 00:00:43.622000,,0 days 00:56:18.187000,0 days 00:57:01.807000,274.0,268.0,254.0,308.0,False,MEDIUM,1.0,True,Aston Martin,0 days 00:55:18.169000,2024-04-21 07:03:36.842,1,2.0,False,,False,False,103.173
0 days 00:58:42.736000,ALO,14,0 days 00:01:41.128000,2.0,1.0,,,0 days 00:00:26.834000,0 days 00:00:30.450000,0 days 00:00:43.844000,0 days 00:57:28.477000,0 days 00:57:58.927000,0 days 00:58:42.771000,269.0,268.0,255.0,303.0,True,MEDIUM,2.0,True,Aston Martin,0 days 00:57:01.608000,2024-04-21 07:05:20.281,1,2.0,False,,False,True,101.128
0 days 01:00:23.724000,ALO,14,0 days 00:01:40.988000,3.0,1.0,,,0 days 00:00:26.859000,0 days 00:00:30.616000,0 days 00:00:43.513000,0 days 00:59:09.630000,0 days 00:59:40.246000,0 days 01:00:23.759000,274.0,267.0,253.0,309.0,True,MEDIUM,3.0,True,Aston Martin,0 days 00:58:42.736000,2024-04-21 07:07:01.409,1,2.0,False,,False,True,100.988
0 days 01:02:05.303000,ALO,14,0 days 00:01:41.579000,4.0,1.0,,,0 days 00:00:27.063000,0 days 00:00:30.734000,0 days 00:00:43.782000,0 days 01:00:50.822000,0 days 01:01:21.556000,0 days 01:02:05.338000,269.0,264.0,253.0,308.0,False,MEDIUM,4.0,True,Aston Martin,0 days 01:00:23.724000,2024-04-21 07:08:42.397,1,2.0,False,,False,True,101.579
0 days 01:03:48.363000,ALO,14,0 days 00:01:43.060000,5.0,1.0,,,0 days 00:00:27.323000,0 days 00:00:31.673000,0 days 00:00:44.064000,0 days 01:02:32.661000,0 days 01:03:04.334000,0 days 01:03:48.398000,271.0,267.0,259.0,325.0,False,MEDIUM,5.0,True,Aston Martin,0 days 01:02:05.303000,2024-04-21 07:10:23.976,1,3.0,False,,False,True,103.06
0 days 01:05:30.726000,ALO,14,0 days 00:01:42.363000,6.0,1.0,,,0 days 00:00:27.069000,0 days 00:00:31.125000,0 days 00:00:44.169000,0 days 01:04:15.467000,0 days 01:04:46.592000,0 days 01:05:30.761000,273.0,266.0,254.0,312.0,False,MEDIUM,6.0,True,Aston Martin,0 days 01:03:48.363000,2024-04-21 07:12:07.036,1,3.0,False,,False,True,102.363
0 days 01:07:14.543000,ALO,14,0 days 00:01:43.817000,7.0,1.0,,,0 days 00:00:27.371000,0 days 00:00:31.200000,0 days 00:00:45.246000,0 days 01:05:58.132000,0 days 01:06:29.332000,0 days 01:07:14.578000,268.0,266.0,258.0,311.0,False,MEDIUM,7.0,True,Aston Martin,0 days 01:05:30.726000,2024-04-21 07:13:49.399,1,4.0,False,,False,True,103.817
0 days 01:08:57.675000,ALO,14,0 days 00:01:43.132000,8.0,1.0,,,0 days 00:00:27.391000,0 days 00:00:31.299000,0 days 00:00:44.442000,0 days 01:07:41.969000,0 days 01:08:13.268000,0 days 01:08:57.710000,271.0,266.0,253.0,311.0,False,MEDIUM,8.0,True,Aston Martin,0 days 01:07:14.543000,2024-04-21 07:15:33.216,1,4.0,False,,False,True,103.132
0 days 01:10:40.621000,ALO,14,0 days 00:01:42.946000,9.0,1.0,,,0 days 00:00:27.552000,0 days 00:00:31.167000,0 days 00:00:44.227000,0 days 01:09:25.262000,0 days 01:09:56.429000,0 days 01:10:40.656000,268.0,266.0,254.0,311.0,False,MEDIUM,9.0,True,Aston Martin,0 days 01:08:57.675000,2024-04-21 07:17:16.348,1,4.0,False,,False,True,102.946
0 days 01:12:23.704000,ALO,14,0 days 00:01:43.083000,10.0,1.0,,,0 days 00:00:27.571000,0 days 00:00:31.284000,0 days 00:00:44.228000,0 days 01:11:08.227000,0 days 01:11:39.511000,0 days 01:12:23.739000,269.0,265.0,253.0,309.0,False,MEDIUM,10.0,True,Aston Martin,0 days 01:10:40.621000,2024-04-21 07:18:59.294,1,4.0,False,,False,True,103.083
0 days 01:17:54.058000,ALO,14,0 days 00:01:42.256000,13.0,2.0,,,0 days 00:00:26.720000,0 days 00:00:31.577000,0 days 00:00:43.959000,0 days 01:16:38.557000,0 days 01:17:10.134000,0 days 01:17:54.093000,278.0,255.0,255.0,335.0,False,HARD,2.0,True,Aston Martin,0 days 01:16:11.802000,2024-04-21 07:24:30.475,1,8.0,False,,False,True,102.256
0 days 01:19:35.002000,ALO,14,0 days 00:01:40.944000,14.0,2.0,,,0 days 00:00:26.921000,0 days 00:00:30.309000,0 days 00:00:43.714000,0 days 01:18:21.014000,0 days 01:18:51.323000,0 days 01:19:35.037000,270.0,267.0,255.0,311.0,True,HARD,3.0,True,Aston Martin,0 days 01:17:54.058000,2024-04-21 07:26:12.731,1,7.0,False,,False,True,100.944
0 days 01:21:15.985000,ALO,14,0 days 00:01:40.983000,15.0,2.0,,,0 days 00:00:26.810000,0 days 00:00:30.316000,0 days 00:00:43.857000,0 days 01:20:01.847000,0 days 01:20:32.163000,0 days 01:21:16.020000,272.0,268.0,255.0,311.0,False,HARD,4.0,True,Aston Martin,0 days 01:19:35.002000,2024-04-21 07:27:53.675,1,7.0,False,,False,True,100.983
0 days 01:22:57.259000,ALO,14,0 days 00:01:41.274000,16.0,2.0,,,0 days 00:00:26.819000,0 days 00:00:30.502000,0 days 00:00:43.953000,0 days 01:21:42.839000,0 days 01:22:13.341000,0 days 01:22:57.294000,270.0,267.0,255.0,307.0,False,HARD,5.0,True,Aston Martin,0 days 01:21:15.985000,2024-04-21 07:29:34.658,1,7.0,False,,False,True,101.274
0 days 01:24:38.510000,ALO,14,0 days 00:01:41.251000,17.0,2.0,,,0 days 00:00:26.859000,0 days 00:00:30.484000,0 days 00:00:43.908000,0 days 01:23:24.153000,0 days 01:23:54.637000,0 days 01:24:38.545000,270.0,267.0,256.0,308.0,False,HARD,6.0,True,Aston Martin,0 days 01:22:57.259000,2024-04-21 07:31:15.932,1,6.0,False,,False,True,101.251
0 days 01:26:19.739000,ALO,14,0 days 00:01:41.229000,18.0,2.0,,,0 days 00:00:26.948000,0 days 00:00:30.472000,0 days 00:00:43.809000,0 days 01:25:05.493000,0 days 01:25:35.965000,0 days 01:26:19.774000,270.0,266.0,257.0,309.0,False,HARD,7.0,True,Aston Martin,0 days 01:24:38.510000,2024-04-21 07:32:57.183,1,5.0,False,,False,True,101.229
0 days 01:28:01.198000,ALO,14,0 days 00:01:41.459000,19.0,2.0,,,0 days 00:00:26.930000,0 days 00:00:30.507000,0 days 00:00:44.022000,0 days 01:26:46.704000,0 days 01:27:17.211000,0 days 01:28:01.233000,270.0,267.0,257.0,308.0,False,HARD,8.0,True,Aston Martin,0 days 01:26:19.739000,2024-04-21 07:34:38.412,1,5.0,False,,False,True,101.459
0 days 01:29:42.838000,ALO,14,0 days 00:01:41.640000,20.0,2.0,,,0 days 00:00:26.937000,0 days 00:00:30.635000,0 days 00:00:44.068000,0 days 01:28:28.170000,0 days 01:28:58.805000,0 days 01:29:42.873000,270.0,266.0,257.0,307.0,False,HARD,9.0,True,Aston Martin,0 days 01:28:01.198000,2024-04-21 07:36:19.871,12,5.0,False,,False,True,101.64
0 days 01:31:33.742000,ALO,14,0 days 00:01:50.904000,21.0,2.0,,,0 days 00:00:27.034000,0 days 00:00:30.498000,0 days 00:00:53.372000,0 days 01:30:09.907000,0 days 01:30:40.405000,0 days 01:31:33.777000,270.0,243.0,203.0,237.0,False,HARD,10.0,True,Aston Martin,0 days 01:29:42.838000,2024-04-21 07:38:01.511,26,5.0,False,,False,False,110.904
0 days 01:45:10.664000,ALO,14,0 days 00:01:50.392000,27.0,3.0,,,0 days 00:00:26.633000,0 days 00:00:30.354000,0 days 00:00:53.405000,0 days 01:43:46.940000,0 days 01:44:17.294000,0 days 01:45:10.699000,271.0,273.0,234.0,312.0,False,SOFT,4.0,True,Aston Martin,0 days 01:43:20.272000,2024-04-21 07:51:38.945,124,5.0,False,,False,False,110.392
0 days 01:56:33.639000,ALO,14,0 days 00:01:40.190000,32.0,3.0,,,0 days 00:00:26.552000,0 days 00:00:30.149000,0 days 00:00:43.489000,0 days 01:55:20.036000,0 days 01:55:50.185000,0 days 01:56:33.674000,276.0,271.0,258.0,315.0,True,SOFT,9.0,True,Aston Martin,0 days 01:54:53.449000,2024-04-21 08:03:12.122,1,5.0,False,,False,True,100.19
0 days 01:58:13.119000,ALO,14,0 days 00:01:39.480000,33.0,3.0,,,0 days 00:00:26.546000,0 days 00:00:29.893000,0 days 00:00:43.041000,0 days 01:57:00.220000,0 days 01:57:30.113000,0 days 01:58:13.154000,270.0,271.0,265.0,327.0,True,SOFT,10.0,True,Aston Martin,0 days 01:56:33.639000,2024-04-21 08:04:52.312,1,5.0,False,,False,True,99.48
0 days 01:59:52.571000,ALO,14,0 days 00:01:39.452000,34.0,3.0,,,0 days 00:00:26.422000,0 days 00:00:29.964000,0 days 00:00:43.066000,0 days 01:58:39.576000,0 days 01:59:09.540000,0 days 01:59:52.606000,276.0,272.0,266.0,329.0,True,SOFT,11.0,True,Aston Martin,0 days 01:58:13.119000,2024-04-21 08:06:31.792,1,5.0,False,,False,True,99.452
0 days 02:01:32.388000,ALO,14,0 days 00:01:39.817000,35.0,3.0,,,0 days 00:00:26.507000,0 days 00:00:30.203000,0 days 00:00:43.107000,0 days 02:00:19.113000,0 days 02:00:49.316000,0 days 02:01:32.423000,276.0,271.0,264.0,333.0,False,SOFT,12.0,True,Aston Martin,0 days 01:59:52.571000,2024-04-21 08:08:11.244,1,5.0,False,,False,True,99.817
0 days 02:03:13.026000,ALO,14,0 days 00:01:40.638000,36.0,3.0,,,0 days 00:00:26.637000,0 days 00:00:30.312000,0 days 00:00:43.689000,0 days 02:01:59.060000,0 days 02:02:29.372000,0 days 02:03:13.061000,276.0,269.0,258.0,312.0,False,SOFT,13.0,True,Aston Martin,0 days 02:01:32.388000,2024-04-21 08:09:51.061,1,5.0,False,,False,True,100.638
